timestamp, index, utilization.gpu [%], utilization.memory [%], pstate, temperature.gpu, memory.used [MiB], memory.free [MiB]
2020/05/01 13:48:16.270, 9, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:16.271, 10, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:16.272, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:16.273, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:16.274, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:16.274, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:16.275, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:21.277, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:21.278, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:48:21.279, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:21.279, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:21.280, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:21.281, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:48:21.282, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:21.283, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:21.284, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:21.285, 9, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:21.286, 10, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:21.287, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:21.288, 12, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:21.289, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:21.290, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:21.290, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:26.292, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:26.293, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:48:26.294, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:26.294, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:26.295, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:26.296, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
